Title,Genre(s),Developer(s),Publisher(s),Release date
Deadpool,"Third-person Shooter, Fighting",High Moon Studios,Activision,25-Jun-13
Death By Cube,Action & Adventure,Premium Agency,Square Enix,20-Jan-10
Death Tank,Shooter,Snowblind Studios,Microsoft Studios,18-Feb-09
DeathSmiles,Bullet Hell,Cave,"Aksys GamesNA, CaveJP",29-Jun-10
DeathSmiles II,Bullet Hell,Cave,Cave,Unreleased
DeathSpank,Role Playing,Hothead Games,Electronic Arts,14-Jul-10
Deathspank 2011Deathspank: The Baconing,Role Playing,Hothead Games,Valcon Games,31-Aug-11
DeathSpank: Thongs of Virtue,Role Playing,Hothead Games,Electronic Arts,22-Sep-10
Deca Sports Freedom,,Hudson Soft,Konami,18-Nov-10
Deep Black: Episode 1,Action & Adventure,Biart,505 Games,25-Apr-12
Deepak Chopra’s Leela,,THQ,THQ,5-Jun-12
Def Jam Rapstar,"Music, Sim",4mm Games,Konami,5-Oct-10
Def Jam: Icon,Fighting,EA Chicago,Electronic Arts,6-Mar-07
Defender,Classics,Midway Games/,Midway Games,15-Nov-06
Defenders of Ardania,Strategy & Simulation,Most Wanted Entertainment,Deep Silver/,14-Mar-12
Defense Grid: The Awakening,Strategy & Simulation,Hidden Path Entertainment,Microsoft Studios,2-Sep-09
Defense Technica,Strategy & Simulation,Kuno Interactive,Cyberfront Korea Corporation,23-Apr-14
Defiance,"Third-person Shooter, RPG",Trion Worlds,Trion Worlds,2-Apr-13
Destiny,"Action role-playing, First-Person Shooter",Bungie,Activision,9-Sep-14
Destroy All Humans! Path of the Furon,"Third-person Shooter, Adventure",Sandblast Games,THQ,1-Dec-08
Deus Ex: Human Revolution,"Action RPG, Stealth game",Eidos Montréal,Square Enix,23-Aug-11
Deus Ex: Human Revolution Director's Cut,"Action RPG, Stealth game",Eidos Montréal,Square Enix,22-Nov-13
Devil May Cry 4,"Hack & Slash, Action",Capcom,Capcom,5-Feb-08
Devil May Cry HD Collection[note 11],"Hack & Slash, Action",Capcom,Capcom,3-Apr-12
Diablo III,Action RPG,Blizzard Entertainment,Blizzard Entertainment,3-Sep-13
Diablo III: Reaper of Souls,Action RPG,Blizzard Entertainment,Blizzard Entertainment,19-Aug-14
Diabolical Pitch,Kinect,Grasshopper Manufacture,Microsoft Studios,4-Apr-12
Diario: Rebirth Moon Legend,RPG,Idea Factory,Idea Factory,Unreleased
Dig Dug,Classics,Bandai Namco Entertainment,Bandai Namco Entertainment,11-Oct-06
Digimon All-Star Rumble,,Bandai Namco Games,Bandai Namco Games,11-Nov-14
Diner Dash,Puzzle & Trivia,GameLab,Hudson Soft,18-Nov-09
DiRT 1DiRT (a.k.a. Colin McRae: DiRTEU),Racing,Codemasters,Codemasters,19-Jun-07
DiRT 2DiRT 2 (a.k.a. Colin McRae: DiRT 2EU),Racing,Codemasters,Codemasters,8-Sep-09
DiRT 3,Racing,Codemasters,Codemasters,24-May-11
DiRT: Showdown,Racing,Codemasters Southam,Codemasters,12-Jun-12
